x_km,bathy,topo
24.6,-735.198307512236,-534.516299431961
24.7,-733.798672076456,-536.620427656571
24.8,-732.399036640676,-538.724555881181
24.9,-730.999401204895,-540.828684105792
25,-729.599765769115,-536.284994116319
25.1,-728.200130333335,-528.361614626672
25.2,-726.800494897554,-524.118020159332
25.3,-725.400859461774,-530.519651690053
25.4,-724.001224025994,-536.921283220774
25.5,-722.601588590213,-541.303641303644
25.6,-721.201953154433,-543.215855505015
25.7,-719.802317718653,-545.128069706386
25.8,-718.402682282872,-547.040283907757
25.9,-717.098279599621,-548.790949789224
26,-715.811926747003,-546.522179912881
26.1,-714.525573894386,-544.253410036539
26.2,-713.239221041768,-541.984640160197
26.3,-711.95286818915,-539.715870283854
26.4,-710.666515336532,-537.447100407512
26.5,-709.380162483914,-535.17833053117
26.6,-708.093809631297,-532.909560654827
26.7,-706.807456778679,-530.640790778485
26.8,-705.521103926061,-528.410808973058
26.9,-704.234751073443,-526.204868092418
27,-702.948398220825,-523.998927211778
27.1,-701.662045368207,-521.792986331138
27.2,-700.084354392926,-519.587045450498
27.3,-698.318216482209,-515.555977001756
27.4,-696.552078571492,-511.083359276125
27.5,-694.785940660776,-506.610741550494
27.6,-693.019802750059,-502.138123824863
27.7,-691.253664839343,-497.665506099232
27.8,-689.487526928626,-499.586099007799
27.9,-687.721389017909,-505.912335743676
28,-686.012497108215,-512.238572479553
28.1,-684.554221276446,-518.56480921543
28.2,-683.095945444676,-517.662330674363
28.3,-681.637669612907,-511.565825059789
28.4,-680.179393781138,-505.469319445214
28.5,-678.721117949368,-499.372813830641
28.6,-677.262842117599,-493.276308216066
28.7,-675.804566285829,-493.154939219195
28.8,-674.348277733156,-503.263481496414
28.9,-672.901996527838,-513.372023773634
29,-671.45571532252,-507.210972959678
29.1,-670.009434117203,-500.418515392693
29.2,-668.563152911885,-495.333442179655
29.3,-667.116871706567,-499.517579744374
29.4,-665.670590501249,-503.701717309094
29.5,-664.224309295932,-507.885854873813
29.6,-662.778028090614,-512.069992438533
29.7,-661.644776547726,-516.254130003253
29.8,-661.110086952795,-520.438267567972
29.9,-660.575397357865,-520.972556032782
30,-660.040707762935,-514.368585452911
30.1,-659.506018168004,-507.764614873041
30.2,-658.971328573074,-501.16064429317
30.3,-658.436638978143,-494.5566737133
30.4,-657.901949383213,-487.952703133429
30.5,-657.367259788282,-495.953169791374
30.6,-656.832570193352,-509.517306832278
30.7,-656.419111410415,-523.081443873183
