x_km,bathy,topo
58,-985.289314564419,-386.254412760445
58.1,-984.1095806136,-392.844531278276
58.2,-982.701170865163,-407.666978510386
58.3,-981.15493443941,-426.821434170808
58.4,-979.608698013657,-414.93982795185
58.5,-978.062461587903,-404.429860152731
58.6,-976.51622516215,-395.846776208199
58.7,-975.219905319645,-377.802564469173
58.8,-973.981530972836,-372.404378807141
58.9,-972.743156626028,-376.544166492535
59,-971.50478227922,-380.683954177928
59.1,-970.266407932411,-384.768796335059
59.2,-969.028033585603,-388.840043297873
59.3,-967.050762724798,-392.911290260687
59.4,-964.884803932332,-396.982537223501
59.5,-962.718845139867,-400.720705406115
59.6,-960.552886347402,-403.939001154532
59.7,-959.445115038829,-407.157296902949
59.8,-960.024592967705,-410.375592651366
59.9,-960.60407089658,-400.175016422848
60,-961.183548825456,-386.220053345678
60.1,-961.137079521957,-372.265090268509
60.2,-960.910252005973,-372.13326610917
60.3,-960.68342448999,-372.366232607197
60.4,-960.456596974005,-372.599199105224
60.5,-960.229769458022,-372.83216560325
60.6,-960.214961190201,-382.960740430643
60.7,-960.208035159178,-400.765834681476
60.8,-960.201109128156,-398.496597050817
60.9,-960.194183097134,-395.371068142155
61,-960.187257066111,-392.245539233493
61.1,-960.180331035089,-389.120010324831
61.2,-960.196212057348,-397.824743848837
61.3,-960.344510603946,-416.289542554604
61.4,-960.492809150544,-412.33756992793
61.5,-960.641107697141,-407.053008257825
61.6,-960.789406243739,-403.708717323182
61.7,-960.937704790336,-412.607801433111
61.8,-961.086003336934,-421.506885543041
61.9,-960.975974641976,-430.40596965297
62,-960.340758653921,-429.400369962616
62.1,-959.705542665865,-427.634232051899
62.2,-959.070326677809,-425.868094141183
62.3,-958.435110689754,-423.905189182293
62.4,-957.799894701698,-421.523327113686
62.5,-957.164678713642,-419.141465045079
62.6,-956.529462725586,-416.759602976472
62.7,-955.89424673753,-414.772405796503
62.8,-954.764377694103,-413.665972340672
62.9,-953.584643743284,-412.559538884841
63,-952.404909792466,-411.453105429009
63.1,-951.45469291186,-410.346671973178
63.2,-951.041794908601,-411.849065687276
63.3,-950.628896905341,-415.988853372675
63.4,-950.215998902082,-420.128641058075
63.5,-949.803100898822,-421.299298691219
63.6,-949.349408316615,-421.137148082577
63.7,-948.462876345745,-420.974997473934
63.8,-947.576344374876,-420.812846865292
63.9,-946.689812404006,-420.650696256649
64,-945.698384946715,-420.488545648007
64.1,-944.591951490885,-420.326395039364
64.2,-943.485518035055,-422.60332621779
64.3,-942.379084579224,-425.235218006309
64.4,-941.272651123394,-427.867109794828
64.5,-941.423553603611,-428.824325812278
64.6,-942.208272918451,-428.93734604578
64.7,-942.992992233291,-429.050366279282
64.8,-943.777711548131,-429.163386512784
64.9,-943.920720059471,-429.276406746286
65,-943.725307041339,-429.389426979788
65.1,-943.529894023206,-429.502447213291
65.2,-943.334481005073,-429.615467446793
65.3,-943.139067986941,-429.728487680295
65.4,-942.92455546606,-435.298844455476
65.5,-942.257924980152,-440.394202291793
65.6,-941.591294494244,-440.717128488213
65.7,-940.924664008336,-441.040054684633
65.8,-940.258033522429,-441.463253270488
65.9,-939.792280908083,-445.084701741335
66,-940.005256362022,-448.706150212182
66.1,-940.218231815961,-452.327598683029
66.2,-940.431207269901,-452.768199274223
66.3,-940.64418272384,-452.521380714151
66.4,-941.658009229631,-452.27456215408
66.5,-943.795122676986,-452.027743594008
66.6,-945.932236124341,-451.780925033937
66.7,-948.069349571696,-451.534106473865
66.8,-950.206463019051,-451.287287913794
66.9,-952.343576466406,-451.040469353722
67,-954.480689913761,-450.793650793651
